Orostara,Type,Notes,Nouns,Verbs,Adjectives,Adverbs,Other,Category,CatRel,CatOrder,RootLanguage,RLWord,RL Word Pronunciation,PemSearchList
Niparamur,proper,'mur' added for clarity,Nepal/Federal Democratic Republic of Nepal ,,,,,,,,Nepali,नेपाल,Nēpāla,
nir,basic,,length/meter/distance,extend,long/distant,distantly,,measurement,,,Tamil,நீளம்,Nīḷam,
nit,basic,all drinks are 'water' unless otherwise specified ,water,drink,watery,,,food,,0,Telugu,నీటి,Nīṭi,
nix,basic/slang,,bottom/underside,lower,low/(colloquially) inferior/(slang) sad,down,under/below/beneath,direction,adv,6,Russian,ниже,nizhe,
nixan,,,past year,,,,,,,,Orostara,nien xan,,
nixan,basic,,mark/stamp/impression,mark/stamp/impress,,,,,,,Hindi,निशान,nishaan,
nixfap,,used when referring to the effect of something on you/others,,,sad/sorrowful/depressing,,,,,,Orostara,nix fap,low attitude,
nixit,,,anus,,,,,body,,32,Orostara,nix xit,bottom hole,
nixp,slang,informal slang; short form,sadness/sorrow/depression,,sad,,,,,,Orostara,nixpaf,,
nixpaf,,used when referring to the emotion,sadness/sorrow/depression,,sad/depressed,,,,,,Orostara,nix paf,,
nixsison,,time of year,winter,,,,,,,,Orostara,nix sison,,
nixter,,,valley,,,,,nature,,,Orostara,nix ter,,
nof,basic,,,,new/novel/fresh,,,,,,Portuguese,novo,,
nok,basic,,nail/talon/claw,scratch,,,,body,,52,Russian,ноготь,nogot',
nom,basic,,name,,,,,,,,Portuguese,nome,,
nop,basic,,width/range/scale/spectrum,,wide,,,,,,Korean,너비,neobi,
Norfamerikater,proper,the continent; 'ter' added for clarity,North America,,,,,continent,,,English,North America,,
num,basic,,number/amount/quantity/limit,count/measure,,,,measurement,,,Spanish,número,,
numetot,,,calculation,calculate,,,,,,,Orostara,num metot,,
numfen,,,math,,,,,,,,Orostara,num fen,,
numren,,,mathematician,,,,,,,,Orostara,num ren,,
nur,basic,,effort/attempt,try/attempt,,,,,,,Mandarin Chinese,努力,Nǔlì,
o,basic,indicate an 'is/am/are' phrase; optional and used for clarity,,,,,,,,,Orostara,?,,
oh,basic,,,,,,oh,,,,Mandarin Chinese,哦,Ó,
okarim,,,verb,,,,,,,,Orostara,o karim,,
on,basic,,,,,any/at all,,,,,Korean,어느,eoneu,
onux,basic,,,follow/track,,,,,,,Bangla,অনুসরণ,Anusaraṇa,
op,basic,,opening/start/beginning/source/origin,open/turn on/start/begin,open/on,,from (as in from here to there)/since,,,,English,open,,
oput,basic,,experience,experience,experienced,,,,,,Russian,опыт,opyt,
or,basic,,organ/body part,,,,,body,,5,Spanish,Organo,,
orim,basic,,crease/fold,crease/fold,,,,,,,Japanese,折り目,Orime,
